tip,sex,day,time,size,price_per_person,payer_name,cc_number
5.2,Female,Sun,Dinner,4,8.7,Emily Daniel,4291280793094374
1.56,Male,Sun,Dinner,2,4.97,Curtis Morgan,4628628020417301
4.34,Male,Sun,Dinner,4,6.39,Ronald Owens,6569607991983380
3.51,Male,Sun,Dinner,2,9.74,Michael Hamilton,6502227786581768
3.0,Male,Sat,Dinner,4,9.5,James Christensen DDS,349793629453226
1.5,Female,Sat,Dinner,2,13.2,Melody Simon,4745394421258160
1.76,Male,Sat,Dinner,2,5.62,Troy Guerrero,3560782621035582
6.73,Male,Sat,Dinner,4,12.07,Brian Ortiz,6596453823950595
3.21,Male,Sat,Dinner,2,10.14,Anthony Mclean,347614304015027
2.0,Male,Sat,Dinner,2,6.9,Ryan Hernandez,4766834726806
1.98,Male,Sat,Dinner,2,5.51,Joseph Hart,180046232326178
3.76,Male,Sat,Dinner,4,4.57,Chad Hart,580171498976
2.64,Male,Sat,Dinner,3,5.86,Michael Johnson,2222114458088108
3.15,Male,Sat,Dinner,3,6.69,Justin Dixon,180021262464926
2.47,Female,Sat,Dinner,2,8.22,Rachel Vaughn,3569262692675583
1.0,Female,Sat,Dinner,1,3.07,Tiffany Brock,4359488526995267
2.01,Male,Sat,Dinner,2,10.12,Mr. Travis Bailey Jr.,60406789937
2.09,Male,Sat,Dinner,2,7.5,Adam Hall,4700924377057571
1.97,Male,Sat,Dinner,2,6.01,Max Brown,213139760497718
3.0,Female,Sat,Dinner,3,5.69,Teresa Fisher,5442222963796367
3.14,Female,Sat,Dinner,2,13.43,Victoria Obrien MD,4216245673726
5.0,Female,Sat,Dinner,2,12.64,Julie Holmes,5418689346409571
2.2,Female,Sat,Dinner,2,7.36,Ashley Harris,501828723483
1.25,Male,Sat,Dinner,2,5.26,Kenneth Hayes,213142079731108
3.08,Male,Sat,Dinner,2,8.96,Mark Smith,676188485350
4.0,Male,Thur,Lunch,4,6.8,John Davis,30344778738589
3.0,Male,Thur,Lunch,2,11.38,Chris Hahn,3591887177014031
2.71,Male,Thur,Lunch,2,8.64,Brian Diaz,4759290988169738
3.0,Male,Thur,Lunch,2,9.72,Louis Torres,38848369968464
3.4,Male,Thur,Lunch,2,8.33,William Martin,4550549048402707
1.83,Female,Thur,Lunch,1,10.07,Julie Moody,630413282843
5.0,Male,Thur,Lunch,2,16.34,Daniel Murphy,5356177501009133
2.03,Male,Thur,Lunch,2,7.99,Jason Jones,4442984204923315
5.17,Female,Thur,Lunch,4,8.71,Shawna Cook,6011787464177340
2.0,Male,Thur,Lunch,2,6.52,Derek Thomas,213161022097557
4.0,Male,Thur,Lunch,2,9.14,Donald Williams,5363745772301404
5.85,Male,Thur,Lunch,2,12.36,Roger Taylor,4410248629955
3.0,Male,Thur,Lunch,2,10.58,Keith Lewis,4356005144080422
3.0,Male,Fri,Dinner,2,14.48,Daniel Mason,3597456900644078
3.5,Male,Fri,Dinner,2,11.24,Earl Horn,6011849326227398
1.0,Female,Fri,Dinner,2,2.88,Leah Ramirez,3508911676966392
4.3,Female,Fri,Dinner,2,8.16,Natalie Nguyen,5181236182893396
3.25,Female,Fri,Dinner,2,11.38,Jamie Garza,676318332068
4.73,Male,Fri,Dinner,4,10.04,Aaron Bentley,180026611638690
4.0,Male,Fri,Dinner,2,13.64,Eric Carter,4563054452787961
1.5,Male,Fri,Dinner,2,6.02,Eric Herrera,580116092652
3.0,Male,Fri,Dinner,2,10.5,Michael Li,4831801127457917
1.5,Male,Fri,Dinner,2,6.23,Edward Carter,347435564751626
2.5,Female,Fri,Dinner,2,5.68,Lori Lynch,38558279384492
3.0,Female,Fri,Dinner,2,7.69,Tiffany Colon,6011012799432041
2.5,Female,Sat,Dinner,3,14.77,Heather Cohen,379771118886604
3.48,Female,Sat,Dinner,2,11.21,Kathleen Hawkins,348009865484721
4.08,Female,Sat,Dinner,2,10.46,Gabrielle Frederick,4013010878990106
1.64,Male,Sat,Dinner,2,7.68,David Price,4029957452720
4.06,Male,Sat,Dinner,2,10.24,Karl Mcdaniel,180024452771522
4.29,Male,Sat,Dinner,2,12.6,Jason Mullen,4738781782868
3.76,Male,Sat,Dinner,2,9.12,Steven Grant,4112810433473856
4.0,Female,Sat,Dinner,2,7.16,Amanda Anderson,375638820334211
3.0,Male,Sat,Dinner,2,7.0,James Sanchez,345243048851323
1.0,Female,Sat,Dinner,1,7.25,Terri Jones,3559221007826887
4.0,Male,Sun,Dinner,3,12.69,Jeff Lopez,3572865915176463
2.55,Male,Sun,Dinner,2,11.98,John Joyce,6565964211060570
4.0,Female,Sun,Dinner,3,8.57,Katie Smith,5400160161311292
3.5,Female,Sun,Dinner,2,8.65,Kayla Stone,379494319310858
5.07,Male,Sun,Dinner,4,7.48,Shawn Blake,4689079711213722
1.5,Female,Thur,Lunch,2,5.32,Linda Zhang,3560509622598239
1.8,Female,Thur,Lunch,2,6.22,Dr. Caroline Tucker,502047186908
2.92,Female,Thur,Lunch,4,6.02,Melanie Jordan,676212062720
2.31,Male,Thur,Lunch,2,5.84,Kenneth Goodman,4891259691010
1.68,Female,Thur,Lunch,2,6.71,Laura Garcia,5181484390945653
2.5,Male,Thur,Lunch,2,7.13,Perry Garcia,180034646320219
2.0,Male,Thur,Lunch,2,7.98,Christopher Lang,4820629318698319
2.52,Female,Thur,Lunch,2,6.24,Jordan Diaz,4472778228206399
4.2,Female,Thur,Lunch,6,4.97,Angela Sanchez,503857080488
1.48,Male,Thur,Lunch,2,4.26,Mario Bradshaw,4524404353861811
2.0,Female,Thur,Lunch,2,7.26,Jessica Simmons,213102478792200
2.0,Female,Thur,Lunch,2,5.69,Christine Perkins,3548391118913991
2.18,Male,Thur,Lunch,3,7.61,Raymond Torres,4855776744024
1.5,Male,Thur,Lunch,2,9.54,Seth Sexton,213113680829581
2.83,Female,Thur,Lunch,2,10.14,Ashley Burke,5394652998970066
1.5,Female,Thur,Lunch,2,5.58,Taylor Gonzalez,6011990685390011
2.0,Female,Thur,Lunch,2,6.13,Kaitlin Wolf,676348318145
3.25,Female,Thur,Lunch,2,9.13,Karen Rodriguez,4952604748911
1.25,Female,Thur,Lunch,2,4.26,Rebecca Harris,4320272020376174
2.0,Female,Thur,Lunch,2,5.16,Donna Kelly,180048553626376
2.0,Female,Thur,Lunch,2,7.08,Vanessa Morris,213189344156819
2.0,Male,Thur,Lunch,2,8.0,Jason Burgess,3561461821942363
2.75,Female,Thur,Lunch,2,6.58,Lindsey Meyer,676239597203
3.5,Female,Thur,Lunch,2,8.74,Kayla Rios,5233918213804470
6.7,Male,Thur,Lunch,6,5.72,Steven Carlson,3526515703718508
5.0,Male,Thur,Lunch,5,8.24,Eric Andrews,4356531761046453
5.0,Female,Thur,Lunch,6,4.51,Regina Jones,4311048695487
2.3,Female,Thur,Lunch,2,8.22,Linda Jones,6542729219645658
1.5,Female,Thur,Lunch,2,4.18,Amy Young,4285454264477
1.36,Female,Thur,Lunch,3,6.21,Kelly Estrada,60463302327
1.63,Female,Thur,Lunch,2,5.94,Annette Cunningham,675937746864
1.73,Male,Thur,Lunch,2,4.89,David Stewart,3578014604116399
2.0,Male,Thur,Lunch,2,3.76,Daniel Robbins,4823139288341889
2.5,Male,Sun,Dinner,2,7.04,Luke Rice,4813617017359506
2.0,Male,Sun,Dinner,2,6.56,Jason Arnold,3571825125296106
2.74,Male,Sun,Dinner,3,5.75,Gregory Smith,4292362333741
2.0,Male,Sun,Dinner,4,6.14,Todd Patterson,4416804908942159
2.0,Male,Sun,Dinner,4,4.94,James Smith,213169731428229
5.14,Female,Sun,Dinner,5,5.97,Madison Wilson,4210875236164664
5.0,Male,Sun,Dinner,6,8.03,Ryan Gonzales,3523151482063321
3.75,Female,Sun,Dinner,4,6.25,Laura Robles,213158685144262
2.61,Female,Sun,Dinner,2,6.7,Ashley Boyd,3571088058115021
2.0,Male,Sun,Dinner,4,4.12,Christopher Soto,30501814271434
3.5,Male,Sun,Dinner,4,5.38,Travis Gonzalez,3527668419764685
2.5,Male,Sun,Dinner,2,6.33,Brandon Oconnor,4406882156920533
2.0,Female,Sun,Dinner,3,5.4,Jennifer Baird,4227834176859693
2.0,Male,Sun,Dinner,2,6.9,Charles Newton,5552793481414044
3.0,Female,Sun,Dinner,2,8.76,Audrey Griffin,3500853929693258
3.48,Male,Sun,Dinner,3,8.17,Jacob Hansen,4031116007387
2.24,Male,Sun,Dinner,2,10.38,Gordon Lane,4110599849536479
4.5,Male,Sun,Dinner,4,7.93,Michael Lawson,3566285921227119
1.61,Female,Sat,Dinner,2,5.3,Sara Jimenez,502053147208
2.0,Female,Sat,Dinner,2,5.32,Amy Hill,3536332481454019
10.0,Male,Sat,Dinner,3,16.94,Gregory Clark,5473850968388236
3.16,Male,Sat,Dinner,2,7.9,David Hall,502004138207
5.15,Male,Sun,Dinner,2,3.62,Larry White,30432617123103
3.18,Male,Sun,Dinner,2,15.92,Scott Perez,3577115550328507
4.0,Male,Sun,Dinner,2,8.41,Brian Miles,3586342145399277
3.11,Male,Sun,Dinner,2,16.45,Nathan Reynolds,370307040837149
2.0,Male,Sun,Dinner,2,8.94,Walter Simmons,6011481578696110
2.0,Male,Sun,Dinner,2,7.24,John Dudley,4565183162071073
4.0,Female,Sun,Dinner,2,4.8,Melanie Gray,4211808859168
3.55,Male,Sun,Dinner,2,17.32,Brian Bailey,346656312114848
3.68,Male,Sun,Dinner,4,8.66,James Hebert DDS,676168737648
5.65,Male,Sun,Dinner,2,11.66,Jason Cox,6556931703586223
3.5,Male,Sun,Dinner,3,15.12,Jose Parsons,4112207559459910
6.5,Male,Sun,Dinner,4,5.79,Dr. Michael James,4718501859162
3.0,Male,Sun,Dinner,2,20.27,Stephen Cox,3547798222044029
5.0,Male,Sun,Dinner,5,4.14,Joseph Howell,30362407455623
3.5,Female,Sun,Dinner,3,6.97,Heidi Atkinson,4422858423131187
2.0,Male,Sun,Dinner,5,6.09,David Barrett,4792882899700988
3.5,Female,Sun,Dinner,3,6.05,Glenda Wiggins,578329325307
4.0,Male,Sun,Dinner,3,7.7,Richard Stevens,3560193117506187
1.5,Male,Sun,Dinner,2,7.84,Riley Barnes,180053549128800
4.19,Female,Thur,Lunch,2,9.9,Kristy Boyd,4317015327600068
2.56,Male,Thur,Lunch,2,14.22,Dr. Jeffrey Rich,4737538358295
2.02,Male,Thur,Lunch,2,7.74,Raymond Sullivan,180068856139315
4.0,Male,Thur,Lunch,2,8.29,Benjamin Weber,676210011505
1.44,Male,Thur,Lunch,2,3.78,Michael White,4865390263095532
2.0,Male,Thur,Lunch,2,5.17,Eric Martin,30442491190342
5.0,Female,Thur,Lunch,4,10.78,Brooke Soto,5544902205760175
2.0,Female,Thur,Lunch,2,6.5,Katherine Bond,4926725945192
2.0,Male,Thur,Lunch,2,6.76,Joseph Murphy MD,6547218923471275
4.0,Male,Thur,Lunch,3,6.24,Jason Conrad,4581233003487
2.01,Female,Thur,Lunch,2,6.37,Abigail Parks,3586645396220590
2.0,Female,Thur,Lunch,2,6.5,Ashley Shaw,180088043008041
2.5,Female,Thur,Lunch,2,8.2,Toni Brooks,3582289985920239
4.0,Male,Thur,Lunch,4,5.13,Scott Kim,3570611756827620
3.23,Female,Thur,Lunch,3,5.49,Carly Reyes,4787787236486
3.41,Male,Sat,Dinner,3,8.86,Daniel Owens,38971087967574
3.0,Male,Sat,Dinner,4,9.68,Ricky Ramirez,347817964484033
2.03,Male,Sat,Dinner,2,12.14,Jason Carter,4268942915626180
2.23,Female,Sat,Dinner,2,6.38,Sarah Cunningham,341876516331163
2.0,Male,Sat,Dinner,3,10.02,Shawn Mendoza,30184049218122
5.16,Male,Sat,Dinner,4,6.47,Christopher Li,6011962464150569
9.0,Male,Sat,Dinner,4,12.08,Alex Williamson,676218815212
2.5,Female,Sat,Dinner,2,6.64,Robin Andersen,580140531089
6.5,Female,Sat,Dinner,3,9.39,Marissa Jackson,4922302538691962
1.1,Female,Sat,Dinner,2,6.45,Jessica Owen,4726904879471
3.0,Male,Sat,Dinner,5,5.63,Shawn Barnett PhD,4590982568244
1.5,Male,Sat,Dinner,2,5.8,Gary Orr,30324521283406
1.44,Male,Sat,Dinner,2,3.87,Nicholas Archer,340517153733524
3.09,Female,Sat,Dinner,4,7.54,Shelby House,502097403252
2.2,Male,Fri,Lunch,2,6.08,Ricky Johnson,213109508670736
3.48,Female,Fri,Lunch,2,6.71,Leslie Kaufman,379437981958785
1.92,Male,Fri,Lunch,1,8.58,Jason Lawrence,3505302934650403
3.0,Female,Fri,Lunch,3,5.33,Mary Rivera,5343428579353069
1.58,Male,Fri,Lunch,2,6.71,Ronald Vaughn DVM,341503466406403
2.5,Female,Fri,Lunch,2,8.14,Whitney Arnold,3579111947217428
2.0,Female,Fri,Lunch,2,5.04,Ruth Weiss,5268689490381635
3.0,Male,Sat,Dinner,4,5.11,Robert Bradley,213141668145910
2.72,Male,Sat,Dinner,2,6.64,Glenn Jones,502061651712
2.88,Female,Sat,Dinner,2,11.06,Jennifer Russell,4793003293608
2.0,Male,Sat,Dinner,4,6.0,Michael Osborne,4258682154026
3.0,Male,Sat,Dinner,3,5.23,Jason Parks,4812333796161
3.39,Male,Sat,Dinner,2,5.8,James Taylor,6011482917327995
1.47,Male,Sat,Dinner,2,5.38,Paul Novak,6011698897610858
3.0,Male,Sat,Dinner,2,7.76,Tracy Douglas,4097938155941930
1.25,Male,Sat,Dinner,2,5.04,Sean Gonzalez,3534021246117605
1.0,Male,Sat,Dinner,2,6.3,Matthew Myers,3543676378973965
1.17,Male,Sat,Dinner,2,16.42,Thomas Brown,4284722681265508
4.67,Female,Sat,Dinner,3,11.94,Kimberly Crane,676184013727
5.92,Male,Sat,Dinner,3,9.68,Michael Avila,5296068606052842
2.0,Female,Sat,Dinner,2,13.59,Monica Sanders,3506806155565404
2.0,Male,Sat,Dinner,2,11.34,Keith Wong,6011891618747196
1.75,Male,Sat,Dinner,2,8.91,Dennis Dixon,4375220550950
3.0,Female,Thur,Dinner,2,9.39,Michelle Hardin,3511451626698139
